Time,Amplitude
24.3,-30.18301
24.4,-33.00652
24.5,-28.63111
24.6,-29.43546
24.7,-28.61133
24.8,-26.67899
24.9,-25.9709
25,-27.37025
25.1,-26.73075
25.2,-25.14663
25.3,-26.09621
25.4,-27.5225
25.5,-27.89977
25.6,-27.5542
25.7,-28.40307
25.8,-27.19178
25.9,-28.61404
26,-28.63118
26.1,-29.49612
26.2,-27.89326
26.3,-27.5094
26.4,-30.08053
26.5,-31.11275
26.6,-30.64199
26.7,-30.77602
26.8,-31.03859
26.9,-32.83347
27,-30.38126
27.1,-32.37965
27.2,-32.12386
27.3,-32.91024
27.4,-33.37663
27.5,-33.53426
27.6,-33.45313
27.7,-34.54455
27.8,-34.10477
27.9,-33.46368
28,-32.69948
28.1,-35.01646
28.2,-35.04973
28.3,-31.18064
28.4,-37.48458
28.5,-35.02785
28.6,-36.71345
28.7,-32.08975
28.8,-29.71281
28.9,-37.15979
29,-36.54568
29.1,-39.11839
29.2,-36.02192
29.3,-35.29576
29.4,-38.66872
29.5,-40.99552
29.6,-34.27599
29.7,-35.52273
29.8,-39.32422
29.9,-40.97607
30,-40.02452
30.1,-37.98556
30.2,-42.5938
30.3,-40.14473
30.4,-40.61555
30.5,-36.49909
30.6,-39.28143
30.7,-36.575
30.8,-39.7874
30.9,-38.98205
31,-34.32208
31.1,-38.34645
31.2,-38.93113
31.3,-39.24333
31.4,-31.07914
31.5,-36.09573
31.6,-35.75215
31.7,-35.9545
31.8,-33.00049
31.9,-33.52214
32,-31.76256
32.1,-32.53416
32.2,-32.7634
32.3,-27.92357
32.4,-31.42099
32.5,-31.24135
32.6,-31.38911
32.7,-30.433
32.8,-29.76146
32.9,-30.2516
33,-31.60799
33.1,-29.89767
33.2,-29.72102
33.3,-30.06675
33.4,-27.58652
33.5,-26.93122
33.6,-26.21408
33.7,-27.61097
33.8,-25.51505
33.9,-27.35988
34,-26.38751
34.1,-25.16627
34.2,-24.03831
34.3,-26.24281
34.4,-26.14174
34.5,-24.15522
34.6,-23.81266
34.7,-25.51126
34.8,-24.96829
34.9,-23.38649
35,-24.14111
35.1,-23.31192
35.2,-24.48519
35.3,-23.49617
35.4,-24.26854
35.5,-24.77976
35.6,-23.18274
35.7,-22.88131
35.8,-24.42356
35.9,-23.84168
36,-25.83203
36.1,-25.06595
36.2,-25.16724
36.3,-26.64503
36.4,-24.2619
36.5,-27.13308
36.6,-29.97788
36.7,-30.57604
36.8,-30.27019
36.9,-30.37751
37,-31.15004
37.1,-28.45525
37.2,-27.94638
37.3,-29.84757
37.4,-27.83461
37.5,-28.4
37.6,-28.36874
37.7,-30.14704
37.8,-30.3639
37.9,-32.22734
38,-30.04296
38.1,-31.75122
38.2,-30.95827
38.3,-30.52477
38.4,-30.58632
38.5,-31.81658
38.6,-35.13539
38.7,-33.57279
38.8,-36.3485
38.9,-34.34673
39,-32.59023
39.1,-34.54437
39.2,-20.91144
39.3,-34.41618
39.4,-30.73089
39.5,-33.34004
39.6,-37.31961
39.7,-31.27927
39.8,-33.21133
39.9,-34.3525
40,-31.6153
40.1,-33.26649
40.2,-32.4833
40.3,-31.6503
40.4,-33.07667
40.5,-32.84818
40.6,-31.61909
40.7,-33.75192
40.8,-35.03403
40.9,-33.5155
41,-33.16811
41.1,-30.26027
41.2,-31.93315
41.3,-36.13654
41.4,-34.39791
41.5,-33.04677
41.6,-33.193
41.7,-30.93109
41.8,-32.71644
41.9,-34.74413
42,-32.51623
42.1,-29.19677
42.2,-35.97308
42.3,-36.71648
42.4,-33.50178
42.5,-30.38962
42.6,-30.72241
42.7,-34.3434
42.8,-34.79693
42.9,-35.12988
43,-36.29333
43.1,-32.03611
43.2,-31.65873
43.3,-32.58668
43.4,-34.05841
43.5,-30.81531
43.6,-34.70821
43.7,-32.12677
43.8,-28.12986
43.9,-28.88069
44,-29.7246
44.1,-27.7346
44.2,-28.06816
44.3,-29.71977
44.4,-32.0413
44.5,-28.70495
44.6,-30.45324
44.7,-31.70183
44.8,-30.58346
44.9,-27.68192
45,-29.35256
45.1,-28.97186
45.2,-29.20946
45.3,-27.98444
45.4,-27.97677
45.5,-26.65747
45.6,-28.61229
45.7,-29.29957
45.8,-29.47776
45.9,-28.51882
46,-29.76907
46.1,-29.38534
46.2,-30.15067
46.3,-29.86173
46.4,-31.15121
46.5,-30.26442
46.6,-30.88533
46.7,-30.3868
46.8,-27.27051
46.9,-33.5541
47,-30.77591
47.1,-29.47556
47.2,-32.7012
47.3,-33.71748
47.4,-32.31221
47.5,-30.80208
47.6,-30.83828
47.7,-32.72339
47.8,-32.90779
47.9,-29.80413
48,-30.08143
48.1,-33.34278
48.2,-32.1341
48.3,-32.70033
48.4,-35.07348
48.5,-33.22855
48.6,-31.6548
48.7,-35.76182
48.8,-33.5047
48.9,-33.37328
49,-36.83052
49.1,-30.51995
49.2,-35.00729
49.3,-32.31157
49.4,-30.75996
49.5,-33.53733
49.6,-36.2999
49.7,-31.33955
49.8,-35.21511
49.9,-35.06024
50,-32.87039
50.1,-32.87948
50.2,-32.91938
50.3,-32.06168
50.4,-32.73303
50.5,-34.22742
50.6,-32.94846
50.7,-31.22878
50.8,-32.04233
50.9,-31.57093
51,-32.83007
51.1,-33.0026
51.2,-30.74274
51.3,-25.85226
51.4,-29.53098
51.5,-28.28062
51.6,-24.2143
51.7,-24.58681
51.8,-29.03595
51.9,-26.44759
52,-22.68753
52.1,-26.08216
52.2,-24.71042
52.3,-23.11634
52.4,-27.34089
52.5,-26.1566
52.6,-26.17755
52.7,-28.74081
52.8,-26.80823
52.9,-28.1755
53,-29.83868
53.1,-31.4081
53.2,-29.43029
53.3,-30.58624
53.4,-30.82529
53.5,-22.44251
53.6,-29.06297
53.7,-31.45299
53.8,-33.56275
53.9,-25.46529
54,-31.13588
54.1,-29.27605
54.2,-31.09156
54.3,-31.44871
54.4,-26.87787
54.5,-30.53376
54.6,-30.01615
54.7,-33.57899
54.8,-25.78619
54.9,-34.21675
55,-31.38844
55.1,-31.72091
55.2,-27.94911
55.3,-29.26736
55.4,-30.40697
55.5,-29.4079
55.6,-29.22888
55.7,-19.10991
55.8,-29.11235
55.9,-28.57739
56,-28.40394
56.1,-21.68334
56.2,-27.78167
56.3,-24.21465
56.4,-25.58394
56.5,-23.14242
56.6,-22.89412
56.7,-20.03152
56.8,-18.33121
56.9,-21.12788
57,-19.29706
57.1,-19.65713
57.2,-19.36108
57.3,-19.48302
57.4,-18.48591
57.5,-20.01742
57.6,-19.30504
57.7,-18.97546
57.8,-20.38601
57.9,-21.09491
58,-20.57238
58.1,-20.99273
58.2,-20.69071
58.3,-22.5925
58.4,-22.24478
58.5,-23.1415
58.6,-23.957
58.7,-24.30919
58.8,-23.79786
58.9,-24.88923
59,-24.87009
59.1,-24.40457
59.2,-26.7779
59.3,-26.45748
59.4,-25.10919
59.5,-26.07708
59.6,-28.19643
59.7,-28.2617
59.8,-27.78293
59.9,-26.90345
60,-25.99208
60.1,-28.72286
60.2,-28.74968
60.3,-28.8655
60.4,-25.17655
60.5,-27.93422
60.6,-29.34122
60.7,-28.48292
60.8,-28.90691
60.9,-29.46494
61,-30.81252
61.1,-29.23415
61.2,-29.56781
61.3,-28.97611
61.4,-29.26785
61.5,-29.50638
61.6,-30.88236
61.7,-26.26186
61.8,-30.82304
61.9,-28.77708
62,-30.14746
62.1,-31.36053
62.2,-31.7052
62.3,-33.12303
62.4,-29.91689
62.5,-29.42699
62.6,-29.58622
62.7,-32.06285
62.8,-32.04031
62.9,-34.00424
63,-35.49248
63.1,-35.80363
63.2,-33.82565
63.3,-30.11303
63.4,-32.6234
63.5,-30.02737
63.6,-33.27757
63.7,-34.27674
63.8,-35.08453
63.9,-33.38037
64,-31.6755
64.1,-33.08175
64.2,-34.85699
64.3,-34.41705
64.4,-29.77929
64.5,-32.05339
64.6,-33.42295
64.7,-32.08008
64.8,-32.628
64.9,-34.08282
65,-34.41222
65.1,-30.81557
65.2,-31.57495
65.3,-32.01376
65.4,-33.64724
65.5,-33.28849
65.6,-33.04138
65.7,-34.13537
65.8,-32.37967
65.9,-32.8689
66,-33.41434
66.1,-31.7639
66.2,-33.08738
66.3,-30.23807
66.4,-32.26036
66.5,-35.02371
66.6,-33.20504
66.7,-33.65174
66.8,-30.38008
66.9,-29.68253
67,-31.24892
67.1,-31.416
67.2,-32.62415
67.3,-32.02979
67.4,-29.81886
67.5,-30.02814
67.6,-34.65141
67.7,-32.3166
67.8,-29.05169
67.9,-31.94428
68,-32.21132
68.1,-33.26641
68.2,-28.1158
68.3,-31.33522
68.4,-35.00911
68.5,-34.681
68.6,-32.89132
68.7,-34.71056
68.8,-31.56973
68.9,-31.26821
69,-31.64769
69.1,-32.22989
69.2,-33.19029
69.3,-33.18226
69.4,-32.69154
69.5,-31.13154
69.6,-31.23712
69.7,-35.34847
69.8,-33.59996
69.9,-27.82202
70,-26.96084
70.1,-33.16898
70.2,-32.72934
70.3,-31.12582
70.4,-32.06441
70.5,-33.39977
70.6,-31.51125
70.7,-37.20974
70.8,-32.66911
70.9,-32.87647
71,-34.32389
71.1,-32.99336
71.2,-31.13399
71.3,-35.16894
71.4,-32.94846
71.5,-32.12091
71.6,-32.39198
71.7,-33.78386
71.8,-31.42067
71.9,-29.11335
72,-32.55786
72.1,-31.85959
72.2,-32.73821
72.3,-31.84098
72.4,-32.18865
72.5,-28.36362
72.6,-32.75538
72.7,-35.42532
72.8,-32.08162
72.9,-34.1445
73,-35.34838
73.1,-35.64808
73.2,-36.13939
73.3,-35.79948
73.4,-35.54482
73.5,-32.35826
73.6,-36.00472
73.7,-35.15708
73.8,-30.47501
73.9,-35.82925
74,-36.06569
74.1,-32.45084
74.2,-36.6335
74.3,-35.05909
74.4,-33.49598
74.5,-33.16862
74.6,-33.60449
74.7,-37.13126
74.8,-32.94969
74.9,-34.94167
75,-34.88448
75.1,-34.34772
75.2,-36.17883
75.3,-35.41631
75.4,-38.33566
75.5,-36.88821
75.6,-38.70582
75.7,-35.39126
75.8,-35.26914
75.9,-31.25715
76,-30.08734
76.1,-30.86847
76.2,-33.0854
76.3,-38.33556
76.4,-34.96728
76.5,-34.47135
76.6,-33.71161
76.7,-34.90424
76.8,-34.60033
76.9,-35.58954
77,-36.29628
77.1,-37.56388
77.2,-33.73444
77.3,-37.12653
77.4,-34.04925
77.5,-36.68484
77.6,-34.95254
77.7,-35.26284
77.8,-34.94135
77.9,-33.52826
78,-38.6728
78.1,-34.07144
78.2,-35.65398
78.3,-33.96254
78.4,-35.96481
78.5,-29.34001
78.6,-33.83254
78.7,-33.55941
78.8,-36.53387
78.9,-33.69382
79,-35.47429
79.1,-34.82801
79.2,-36.30083
79.3,-31.40276
79.4,-34.06274
79.5,-36.19637
79.6,-34.96786
79.7,-34.60875
79.8,-32.50874
79.9,-19.76652
80,-32.9148
80.1,-33.06617
80.2,-31.10511
80.3,-30.34516
80.4,-25.35917
80.5,-28.7672
80.6,-24.58243
80.7,-23.76091
80.8,-20.68527
80.9,-22.1287
81,-20.80397
81.1,-21.59789
81.2,-20.88795
81.3,-22.54706
81.4,-21.80392
81.5,-21.22768
81.6,-21.356
81.7,-21.34537
81.8,-21.6132
81.9,-20.83721
82,-22.22575
82.1,-22.13831
82.2,-21.30251
82.3,-21.5922
82.4,-23.907
82.5,-26.04351
82.6,-24.02064
82.7,-32.85674
82.8,-32.34796
82.9,-34.81369
83,-35.04245
83.1,-32.58453
83.2,-34.53352
83.3,-35.68023
83.4,-30.26324
83.5,-32.93109
83.6,-30.76091
83.7,-30.7603
83.8,-28.45431
83.9,-31.02129
84,-29.92281
84.1,-29.59302
84.2,-28.78762
84.3,-31.0052
84.4,-29.66747
84.5,-31.95095
84.6,-31.65314
84.7,-31.89079
84.8,-32.74314
84.9,-31.6718
85,-34.13721
85.1,-31.75961
85.2,-31.35989
85.3,-30.0703
85.4,-31.15943
85.5,-32.14017
85.6,-31.99783
85.7,-31.81116
85.8,-31.59261
85.9,-34.34864
86,-28.47933
86.1,-32.54712
86.2,-29.04016
86.3,-31.75464
86.4,-30.51064
86.5,-31.14516
86.6,-29.09191
86.7,-31.8674
86.8,-31.96955
86.9,-33.13781
87,-32.19438
87.1,-33.55157
87.2,-31.02883
87.3,-34.35831
87.4,-30.53359
87.5,-32.21001
87.6,-36.41933
87.7,-26.70194
87.8,-31.95068
87.9,-33.95402
88,-32.47437
88.1,-28.6909
88.2,-32.55059
88.3,-31.57278
88.4,-30.30433
88.5,-29.12589
88.6,-27.44228
88.7,-27.34419
88.8,-27.15664
88.9,-26.01844
89,-25.11028
89.1,-25.54634
89.2,-23.83494
89.3,-26.16679
89.4,-26.72376
89.5,-26.27609
89.6,-25.0667
89.7,-26.85213
89.8,-26.80309
89.9,-25.95432
90,-29.77034
90.1,-28.24541
90.2,-29.67556
90.3,-27.6795
90.4,-29.13659
90.5,-29.22183
90.6,-30.71148
90.7,-31.37224
90.8,-31.20203
90.9,-30.00354
91,-31.53958
91.1,-27.31697
91.2,-28.27341
91.3,-33.80918
91.4,-35.69424
91.5,-39.0955
91.6,-32.07794
91.7,-34.46533
91.8,-34.21428
91.9,-36.26507
92,-32.58894
92.1,-33.6819
92.2,-32.4633
92.3,-35.74993
92.4,-33.61831
92.5,-33.0867
92.6,-36.10487
92.7,-32.3455
92.8,-33.88694
92.9,-33.24072
93,-35.00315
93.1,-32.17848
93.2,-34.05983
93.3,-29.53054
93.4,-31.29284
93.5,-30.62926
93.6,-29.16215
93.7,-27.98581
93.8,-27.55728
93.9,-25.95469
94,-25.32802
94.1,-27.26015
94.2,-27.9206
94.3,-26.45939
94.4,-27.90572
94.5,-29.20573
94.6,-26.50167
94.7,-27.46201
94.8,-27.08001
94.9,-24.50525
95,-24.69377
95.1,-23.6855
95.2,-22.82623
95.3,-19.64733
95.4,-19.83786
95.5,-19.68776
95.6,-18.38998
95.7,-19.01658
95.8,-18.38321
95.9,-19.39397
96,-17.90215
96.1,-20.69441
96.2,-21.3057
96.3,-20.64484
96.4,-20.49498
96.5,-21.28764
96.6,-22.02073
96.7,-21.66066
96.8,-21.65457
96.9,-22.1934
97,-22.97111
97.1,-23.48319
97.2,-24.57772
97.3,-25.00276
97.4,-24.60112
97.5,-26.49018
97.6,-27.562
97.7,-27.29573
97.8,-27.17262
97.9,-27.85359
98,-29.34633
98.1,-27.25668
98.2,-29.98116
98.3,-30.41915
98.4,-30.34237
98.5,-31.65414
